ID caso;Actividad;Ejecutor;Inicio;Fin;tipoDefecto;tipoTelefono;numeroReparaciones;defectoArreglado
1;Registrar;Sistema;02-01-2011 8:23;02-01-2011 8:23;;;;
1;Analizar defecto;Tester3;02-01-2011 8:23;02-01-2011 8:30;6;T2;;
1;Reparacion (compleja);ReparadorC1;02-01-2011 8:31;02-01-2011 8:49;;;;
1;Probar reparacion;Tester3;02-01-2011 8:49;02-01-2011 8:55;;;0;TRUE
1;Informar a cliente;Sistema;02-01-2011 9:10;02-01-2011 9:10;;;;
1;Archivar reparacion;Sistema;02-01-2011 9:10;02-01-2011 9:10;;;0;TRUE
10;Registrar;Sistema;01-01-2011 7:09;01-01-2011 7:09;;;;
10;Analizar defecto;Tester2;01-01-2011 7:09;01-01-2011 7:15;3;T1;;
10;Reparacion (simple);ReparadorS1;01-01-2011 7:35;01-01-2011 7:42;;;;
10;Probar reparacion;Tester6;01-01-2011 7:42;01-01-2011 7:48;;;1;FALSE
10;Volver a reparar;Sistema;01-01-2011 7:54;01-01-2011 7:54;;;;
10;Informar a cliente;Sistema;01-01-2011 7:55;01-01-2011 7:55;;;;
10;Reparacion (simple);ReparadorS2;01-01-2011 8:03;01-01-2011 8:03;;;;
10;Probar reparacion;Tester4;01-01-2011 8:03;01-01-2011 8:09;;;2;TRUE
10;Archivar reparacion;Sistema;01-01-2011 8:14;01-01-2011 8:14;;;2;TRUE
100;Registrar;Sistema;03-01-2011 22:28;03-01-2011 22:28;;;;
100;Analizar defecto;Tester4;03-01-2011 22:28;03-01-2011 22:36;8;T2;;
100;Reparacion (compleja);ReparadorC1;03-01-2011 22:52;03-01-2011 23:09;;;;
100;Probar reparacion;Tester1;03-01-2011 23:09;03-01-2011 23:18;;;0;TRUE
100;Informar a cliente;Sistema;03-01-2011 23:20;03-01-2011 23:20;;;;
100;Archivar reparacion;Sistema;03-01-2011 23:28;03-01-2011 23:28;;;0;TRUE
1000;Registrar;Sistema;22-01-2011 2:23;22-01-2011 2:23;;;;
1000;Analizar defecto;Tester6;22-01-2011 2:23;22-01-2011 2:28;3;T3;;
1000;Reparacion (simple);ReparadorS3;22-01-2011 2:35;22-01-2011 2:49;;;;
1000;Probar reparacion;Tester6;22-01-2011 2:49;22-01-2011 2:58;;;1;TRUE
1000;Informar a cliente;Sistema;22-01-2011 3:03;22-01-2011 3:03;;;;
1000;Archivar reparacion;Sistema;22-01-2011 3:08;22-01-2011 3:08;;;1;TRUE
1001;Registrar;Sistema;22-01-2011 3:51;22-01-2011 3:51;;;;
1001;Analizar defecto;Tester3;22-01-2011 3:51;22-01-2011 3:56;8;T1;;
1001;Informar a cliente;Sistema;22-01-2011 4:35;22-01-2011 4:35;;;;
1001;Reparacion (compleja);ReparadorC3;22-01-2011 4:54;22-01-2011 4:54;;;;
1001;Probar reparacion;Tester5;22-01-2011 4:54;22-01-2011 5:00;;;0;TRUE
1002;Registrar;Sistema;22-01-2011 17:40;22-01-2011 17:40;;;;
1002;Analizar defecto;Tester2;22-01-2011 17:40;22-01-2011 17:50;3;T3;;
1002;Informar a cliente;Sistema;22-01-2011 18:26;22-01-2011 18:26;;;;
1002;Reparacion (simple);ReparadorS3;22-01-2011 18:32;22-01-2011 18:32;;;;
1002;Probar reparacion;Tester4;22-01-2011 18:32;22-01-2011 18:40;;;1;TRUE
1003;Registrar;Sistema;22-01-2011 2:43;22-01-2011 2:43;;;;
1003;Analizar defecto;Tester5;22-01-2011 2:43;22-01-2011 2:49;1;T3;;
1003;Reparacion (simple);ReparadorS1;22-01-2011 3:08;22-01-2011 3:14;;;;
1003;Informar a cliente;Sistema;22-01-2011 3:19;22-01-2011 3:19;;;;
1003;Probar reparacion;Tester6;22-01-2011 3:20;22-01-2011 3:20;;;1;FALSE
1003;Volver a reparar;Sistema;22-01-2011 3:27;22-01-2011 3:27;;;;
1003;Reparacion (simple);ReparadorS3;22-01-2011 3:27;22-01-2011 3:41;;;;
1003;Probar reparacion;Tester6;22-01-2011 3:41;22-01-2011 3:51;;;2;TRUE
1004;Registrar;Sistema;22-01-2011 6:27;22-01-2011 6:27;;;;
1004;Analizar defecto;Tester1;22-01-2011 6:27;22-01-2011 6:34;1;T1;;
1004;Reparacion (simple);ReparadorS2;22-01-2011 6:40;22-01-2011 6:51;;;;
1004;Probar reparacion;Tester5;22-01-2011 6:51;22-01-2011 7:00;;;1;TRUE
1004;Informar a cliente;Sistema;22-01-2011 7:10;22-01-2011 7:10;;;;
1005;Registrar;Sistema;21-01-2011 20:31;21-01-2011 20:31;;;;
1005;Analizar defecto;Tester5;21-01-2011 20:31;21-01-2011 20:40;3;T2;;
1005;Reparacion (simple);ReparadorS3;21-01-2011 20:47;21-01-2011 21:01;;;;
1005;Probar reparacion;Tester6;21-01-2011 21:01;21-01-2011 21:11;;;1;TRUE
1005;Informar a cliente;Sistema;21-01-2011 21:16;21-01-2011 21:16;;;;
1006;Registrar;Sistema;22-01-2011 9:34;22-01-2011 9:34;;;;
1006;Analizar defecto;Tester3;22-01-2011 9:34;22-01-2011 9:40;7;T3;;
1006;Informar a cliente;Sistema;22-01-2011 10:27;22-01-2011 10:27;;;;
1006;Reparacion (compleja);ReparadorC3;22-01-2011 10:34;22-01-2011 10:34;;;;
1006;Probar reparacion;Tester5;22-01-2011 10:34;22-01-2011 10:44;;;0;TRUE
1007;Registrar;Sistema;21-01-2011 14:27;21-01-2011 14:27;;;;
1007;Analizar defecto;Tester6;21-01-2011 14:27;21-01-2011 14:33;2;T1;;
1007;Informar a cliente;Sistema;21-01-2011 14:51;21-01-2011 14:51;;;;
1007;Reparacion (simple);ReparadorS3;21-01-2011 14:54;21-01-2011 15:14;;;;
1007;Probar reparacion;Tester3;21-01-2011 15:14;21-01-2011 15:19;;;1;TRUE
1008;Registrar;Sistema;21-01-2011 23:25;21-01-2011 23:25;;;;
1008;Analizar defecto;Tester5;21-01-2011 23:25;21-01-2011 23:32;2;T3;;
1008;Informar a cliente;Sistema;22-01-2011 0:00;22-01-2011 0:00;;;;
1008;Reparacion (simple);ReparadorS1;22-01-2011 0:02;22-01-2011 0:02;;;;
1008;Probar reparacion;Tester1;22-01-2011 0:02;22-01-2011 0:07;;;1;FALSE
1008;Volver a reparar;Sistema;22-01-2011 0:14;22-01-2011 0:14;;;;
1008;Reparacion (simple);ReparadorS1;22-01-2011 0:14;22-01-2011 0:21;;;;
1008;Probar reparacion;Tester6;22-01-2011 0:21;22-01-2011 0:30;;;2;FALSE
1008;Volver a reparar;Sistema;22-01-2011 0:35;22-01-2011 0:35;;;;
1008;Reparacion (simple);ReparadorS2;22-01-2011 0:35;22-01-2011 0:42;;;;
1008;Probar reparacion;Tester2;22-01-2011 0:42;22-01-2011 0:47;;;3;TRUE
1009;Registrar;Sistema;21-01-2011 15:59;21-01-2011 15:59;;;;
1009;Analizar defecto;Tester1;21-01-2011 15:59;21-01-2011 16:04;7;T2;;
1009;Reparacion (compleja);ReparadorC2;21-01-2011 16:17;21-01-2011 16:29;;;;
1009;Probar reparacion;Tester4;21-01-2011 16:29;21-01-2011 16:36;;;0;TRUE
1009;Informar a cliente;Sistema;21-01-2011 16:46;21-01-2011 16:46;;;;
101;Registrar;Sistema;03-01-2011 23:00;03-01-2011 23:00;;;;
101;Analizar defecto;Tester2;03-01-2011 23:00;03-01-2011 23:05;8;T2;;
101;Informar a cliente;Sistema;03-01-2011 23:31;03-01-2011 23:31;;;;
101;Reparacion (compleja);ReparadorC3;03-01-2011 23:33;04-01-2011 0:14;;;;
101;Probar reparacion;Tester6;04-01-2011 0:14;04-01-2011 0:24;;;0;TRUE
101;Archivar reparacion;Sistema;04-01-2011 0:30;04-01-2011 0:30;;;0;TRUE
1010;Registrar;Sistema;22-01-2011 8:08;22-01-2011 8:08;;;;
1010;Analizar defecto;Tester1;22-01-2011 8:08;22-01-2011 8:13;2;T2;;
1010;Reparacion (simple);ReparadorS1;22-01-2011 8:30;22-01-2011 8:37;;;;
1010;Probar reparacion;Tester6;22-01-2011 8:37;22-01-2011 8:47;;;1;FALSE
1010;Volver a reparar;Sistema;22-01-2011 8:53;22-01-2011 8:53;;;;
1010;Informar a cliente;Sistema;22-01-2011 8:56;22-01-2011 8:56;;;;
1010;Reparacion (simple);ReparadorS2;22-01-2011 9:05;22-01-2011 9:05;;;;
1010;Probar reparacion;Tester1;22-01-2011 9:05;22-01-2011 9:10;;;2;TRUE
1011;Registrar;Sistema;21-01-2011 14:30;21-01-2011 14:30;;;;
1011;Analizar defecto;Tester5;21-01-2011 14:30;21-01-2011 14:39;9;T2;;
1011;Informar a cliente;Sistema;21-01-2011 15:23;21-01-2011 15:23;;;;
1011;Reparacion (compleja);ReparadorC3;21-01-2011 15:33;21-01-2011 15:33;;;;
1011;Probar reparacion;Tester5;21-01-2011 15:33;21-01-2011 15:38;;;0;TRUE
1012;Registrar;Sistema;21-01-2011 20:53;21-01-2011 20:53;;;;
1012;Analizar defecto;Tester6;21-01-2011 20:53;21-01-2011 20:58;8;T2;;
1012;Reparacion (compleja);ReparadorC1;21-01-2011 21:17;21-01-2011 21:32;;;;
1012;Probar reparacion;Tester6;21-01-2011 21:32;21-01-2011 21:38;;;0;TRUE
